"Issuer","Bloomberg.ID","Type","Credit.rating","Credit.rating..","Currency","Maturity","Issue.date","Spread","Yield","Amount.issued","Weights"
"PERTH AIRPORT PTY LTD","EK130688 Corp","FIXED","BBB",2,"AUD",6.149,"25/03/14",115.384,3.659,4e+08,"$400,000,000"
"SGSP AUSTRALIA ASSETS","EK104871 Corp","FIXED","BBB+",3,"AUD",6.114,"12/03/14",130.523,3.808,3.5e+08,"$350,000,000"
"COCA-COLA AMATIL LTD","EJ689924 Corp","FIXED","BBB+",3,"AUD",5.344,"4/06/13",78.309,3.227,2.05e+08,"$205,000,000"
"PERTH AIRPORT PTY LTD","EJ758820 Corp","FIXED","BBB",2,"AUD",5.479,"23/07/13",112.14,3.576,1.5e+08,"$150,000,000"
"COCA-COLA AMATIL LTD","EI963715 Corp","FIXED","BBB+",3,"AUD",2.007,"1/02/12",65.249,2.881,2.5e+08,"$250,000,000"
"BRISBANE AIRPORT CORP LT","EJ879888 Corp","FIXED","BBB",2,"AUD",5.725,"21/10/13",119.23,3.666,3.5e+08,"$350,000,000"
"SGSP AUSTRAL ASSETS PTY","EJ384977 Corp","FIXED","BBB+",3,"USD",8.189,"9/10/12",184.366,4.477,489955904,"$489,955,904"
"COCA-COLA AMATIL LTD","EJ337782 Corp","FIXED","BBB+",3,"AUD",3.6,"6/09/12",67.473,3.021,2e+08,"$200,000,000"
"AURIZON NETWORK PTY LTD","EJ889313 Corp","FIXED","BBB+",3,"AUD",5.744,"28/10/13",131.708,3.792,5.25e+08,"$525,000,000"
"ADANI ABBOT POINT TERMIN","EJ881802 Corp","FIXED","BBB-",1,"AUD",3.754,"1/11/13",269.244,5.043,5e+08,"$500,000,000"
"ORIGIN ENERGY FINANCE","EJ637162 Corp","FIXED","BBB",2,"EUR",5.73,"23/04/13",209.815,4.572,950209046,"$950,209,046"
"AMCOR LTD","EJ596276 Corp","FIXED","BBB",2,"EUR",8.14,"22/03/13",118.456,3.815,373087924,"$373,087,924"
"NEWCREST FINANCE PTY LTD","EI870349 Corp","FIXED","BBB-",1,"USD",6.793,"15/11/11",353.099,6.079,736883474,"$736,883,474"
"ASCIANO FINANCE","EI630022 Corp","FIXED","BBB",2,"USD",3.184,"7/04/11",152.274,3.859,716400802,"$716,400,802"
"BARRICK PD AU FIN PTY LT","EI063177 Corp","FIXED","BBB",2,"USD",4.958,"22/12/09",204.417,4.459,456673136,"$456,673,136"
"SGSP AUSTRAL ASSETS PTY","EJ021352 Corp","FIXED","BBB+",3,"AUD",2.062,"21/02/12",107.501,3.309,4e+08,"$400,000,000"
"HOLCIM FINANCE AUSTRALIA","EJ278064 Corp","FIXED","BBB",2,"AUD",2.464,"18/07/12",120.865,3.485,2.5e+08,"$250,000,000"
"SYDNEY AIRPORT FINANCE","EJ406857 Corp","FIXED","BBB",2,"USD",8.14,"23/10/12",166.295,4.294,803701900,"$803,701,900"
"NEWCREST FINANCE PTY LTD","EJ378433 Corp","FIXED","BBB-",1,"USD",7.669,"1/10/12",383.702,6.44,723868352,"$723,868,352"
"LEIGHTON FINANCE USA PTY","EJ431710 Corp","FIXED","BBB-",1,"USD",7.787,"13/11/12",313.566,5.746,479156684,"$479,156,684"
"INCITEC PIVOT LTD","EJ792206 Corp","FIXED","BBB",2,"AUD",4.06,"21/08/13",160.714,3.967,2e+08,"$200,000,000"
"CROWN GROUP FINANCE LTD","EJ279790 Corp","FIXED","BBB",2,"AUD",2.464,"18/07/12",130.606,3.582,3e+08,"$300,000,000"
"HOLCIM FINANCE AUSTRALIA","EJ379309 Corp","FIXED","BBB",2,"AUD",4.175,"4/10/12",133.172,3.699,2e+08,"$200,000,000"
"COCA-COLA AMATIL LTD","EJ433341 Corp","FIXED","BBB+",3,"AUD",4.786,"13/11/12",67.106,3.075,1.5e+08,"$150,000,000"
"SYDNEY AIRPORT FINANCE","ED615909 Corp","FIXED","BBB",2,"AUD",5.807,"20/09/04",218.872,4.669,5.35e+08,"$535,000,000"
"DBNGP FINANCE CO PTY LTD","EJ426585 Corp","FIXED","BBB-",1,"AUD",4.696,"8/11/12",167.257,4.071,3e+08,"$300,000,000"
"QPH FINANCE CO PTY LTD","EJ764636 Corp","FIXED","BBB",2,"AUD",5.495,"29/07/13",122.219,3.678,3e+08,"$300,000,000"
"ORIGIN ENERGY FINANCE","EJ866079 Corp","FIXED","BBB",2,"USD",3.691,"9/10/13",186.942,4.218,847008999,"$847,008,999"
"ORIGIN ENERGY FINANCE","EJ387965 Corp","FIXED","BBB",2,"EUR",4.696,"11/10/12",174.07,4.14,629722922,"$629,722,922"
"AMCOR LTD","EI603020 Corp","FIXED","BBB",2,"EUR",4.208,"16/03/11",91.833,3.287,777055665,"$777,055,665"
"ASCIANO FINANCE","EI409804 Corp","FIXED","BBB",2,"USD",5.648,"23/09/10",189.244,4.36,632311097,"$632,311,097"
"UNITED ENERGY DISTRIBUTI","EJ118108 Corp","FIXED","BBB",2,"AUD",2.196,"11/04/12",143.108,3.679,2.65e+08,"$265,000,000"
"SYDNEY AIRPORT FINANCE","EG021973 Corp","FIXED","BBB",2,"AUD",15.806,"15/12/06",266.289,5.598,3e+08,"$300,000,000"
"WOODSIDE FINANCE LTD","EI664116 Corp","FIXED","BBB+",3,"USD",6.275,"10/05/11",182.079,4.334,645935222,"$645,935,222"
"CALTEX AUSTRALIA LTD","EI883417 Corp","FIXED","BBB+",3,"AUD",3.814,"23/11/11",112.059,3.472,1.5e+08,"$150,000,000"
"ASCIANO FINANCE","EI630791 Corp","FIXED","BBB",2,"USD",8.184,"7/04/11",223.256,4.866,238800267,"$238,800,267"
"UNITED ENERGY DISTRIBUTI","ED224810 Corp","FIXED","BBB",2,"USD",1.207,"19/11/03",232.831,4.718,277238703,"$277,238,703"
"APT PIPELINES LTD","EI325336 Corp","FIXED","BBB",2,"AUD",5.476,"22/07/10",146.508,3.919,3e+08,"$300,000,000"
"SYDNEY AIRPORT FINANCE","EI421490 Corp","FIXED","BBB",2,"USD",6.064,"7/10/10",145.792,3.957,508905852,"$508,905,852"
"APT PIPELINES LTD","EJ390616 Corp","FIXED","BBB",2,"USD",7.696,"11/10/12",199.324,4.598,730709275,"$730,709,275"
"BRISBANE AIRPORT CORP LT","EI620440 Corp","FIXED","BBB",2,"AUD",4.438,"4/04/11",110.375,3.487,2e+08,"$200,000,000"
"ORIGIN ENERGY FINANCE","EJ610528 Corp","FIXED","BBB",2,"EUR",8.178,"5/04/13",230.276,4.936,187758167,"$187,758,167"
"WOODSIDE FINANCE LTD","EH735069 Corp","FIXED","BBB+",3,"USD",4.082,"3/03/09",168.918,4.051,940733772,"$940,733,772"
"ORIGIN ENERGY FINANCE LT","EI836446 Corp","FIXED","BBB",2,"USD",6.705,"14/10/11",223.055,4.773,483558994,"$483,558,994"
"JEMENA LTD","CP502909 Corp","FIXED","BBB+",3,"USD",3.206,"14/04/98",155.254,3.89,231267345,"$231,267,345"
"LEIGHTON FINANCE USA PTY","EI702143 Corp","FIXED","BBB-",1,"USD",2.472,"21/07/10",236.478,4.642,165129256,"$165,129,256"
"LEIGHTON FINANCE USA PTY","EI702147 Corp","FIXED","BBB-",1,"USD",5.473,"21/07/10",298.105,5.435,130964583,"$130,964,583"
"LEIGHTON FINANCE LTD","EI156229 Corp","FIXED","BBB-",1,"USD",3.707,"15/10/08",280.069,5.15,119389451,"$119,389,451"
"APT PIPELINES LTD","EI168508 Corp","FIXED","BBB",2,"USD",7.288,"15/05/07",234.938,4.929,148698885,"$148,698,885"
"APT PIPELINES LTD","EI168484 Corp","FIXED","BBB",2,"USD",4.288,"15/05/07",183.396,4.208,146300516,"$146,300,516"
"APT PIPELINES LTD","EI168456 Corp","FIXED","BBB",2,"USD",2.289,"15/05/07",140.429,3.662,184674421,"$184,674,421"
"SYDNEY AIRPORT FINANCE","EK156115 Corp","FIXED","BBB",2,"EUR",9.229,"23/04/14",131.342,4.005,1041046996,"$1,041,046,996"
"Aurizon Network Pty Ltd","EK4685294 Corp","FIXED","BBB+",3,"EUR",9.635,"18/09/14",148.571,4.2,718700589,"$718,700,589"
"Origin Energy Finance Ltd","EJ8598074 Corp","FIXED","BBB",2,"EUR",6.678,"4/10/13",227.39,4.814,1149590458,"$1,149,590,458"
"Brambles Finance Ltd","EK3156859 Corp","FIXED","BBB+",3,"EUR",9.366,"12/06/14",111.081,3.81,718803910,"$718,803,910"
"SGSP Australia Assets Pty Ltd","EK3157451 Corp","FIXED","BBB+",3,"EUR",7.414,"30/06/14",129.024,3.877,725794745,"$725,794,745"
"QPH Finance Co Pty Ltd","EK3554137 Corp","FIXED","BBB",2,"AUD",6.434,"7/07/14",125.659,3.781,2e+08,"$200,000,000"
"Baosteel Financing 2015 Pty Ltd","EK7113146 Corp","FIXED","BBB+",3,"USD",4.994,"28/01/15",258.549,5.003,633793890,"$633,793,890"
